,Name,Price,Selldate,Public Year,Mileage,Origin,Bodytype,Seats,City,Year,Fueltype,Engine,Manufacturer
62,MG 5 Standard 1.5 AT,410,4/11/2024,2022,25000,Nhap khau,Sedan,5,TP HCM,2,Xang,1500,MG
70,Mercedes Benz C class C200,890,3/11/2024,2019,45000,Lap rap,Sedan,5,Ha Noi,5,Xang,1500,Mercedes
71,Mitsubishi Triton Athlete 4x4 AT,720,3/11/2024,2022,40000,Nhap khau,Ban tai,5,Ha Noi,2,Dau,2400,Mitsubishi
73,Kia Sedona 3.3 GAT Premium,799,4/11/2024,2019,30200,Lap rap,Van,7,TP HCM,5,Xang,3300,Kia
74,Lexus RX 350,2790,4/11/2024,2018,53000,Nhap khau,SUV,5,Ha Noi,6,Xang,3500,Lexus
75,Mini Cooper Countryman,585,4/11/2024,2014,70000,Nhap khau,Hatchback,5,Ha Noi,10,Xang,1600,Mini
76,Honda Jazz RS,379,4/11/2024,2018,41000,Nhap khau,Hatchback,5,TP HCM,6,Xang,1500,Honda
77,Toyota Innova 2.0E,420,4/11/2024,2016,100000,Lap rap,Crossover,8,Ninh Binh,8,Xang,2000,Toyota
78,Kia Cerato 1.6 AT Luxury,485,4/11/2024,2019,31000,Lap rap,Sedan,5,Ha Noi,5,Xang,1600,Kia
79,Mitsubishi Xpander 1.5 AT,510,3/11/2024,2020,69000,Nhap khau,SUV,7,Ha Noi,4,Xang,1500,Mitsubishi
80,Ford Fiesta 1.6 AT,199,4/11/2024,2013,11000,Lap rap,Sedan,5,Ninh Binh,11,Xang,1600,Ford
81,Mercedes Benz C class C300 AMG,1039,4/11/2024,2019,56000,Lap rap,Sedan,5,Ha Noi,5,Xang,2000,Mercedes
82,Peugeot 3008 GT,919,3/11/2024,2022,14368,Lap rap,Crossover,5,TP HCM,2,Xang,1600,Peugeot
83,Hyundai SantaFe Cao cap 2.5L HTRAC,1060,3/11/2024,2023,7000,Lap rap,SUV,7,Ha Noi,1,Xang,2500,Hyundai
84,Kia Morning SLX 1.0 AT,186,3/11/2024,2010,0,Nhap khau,Hatchback,5,Bac Ninh,14,Xang,1000,Kia
85,Ford Everest Ambiente 2.0 4x2 AT,745,4/11/2024,2019,89000,Nhap khau,SUV,7,Ha Noi,5,Dau,2000,Ford
86,Toyota Veloz Cross Top 1.5 CVT,615,4/11/2024,2022,13000,Lap rap,SUV,7,Ha Noi,2,Xang,1500,Toyota
87,Toyota Camry 2.0E,669,4/11/2024,2018,92000,Lap rap,Sedan,5,Ha Noi,6,Xang,2000,Toyota
88,Toyota Camry 2.5Q,755,4/11/2024,2018,66000,Lap rap,Sedan,5,Ha Noi,6,Xang,2500,Toyota
89,Kia Seltos Premium 1.4 AT,579,4/11/2024,2020,59500,Lap rap,Crossover,5,TP HCM,4,Xang,1400,Kia
90,Mercedes Benz E class E200 Exclusive,1620,4/11/2024,2021,75000,Lap rap,Sedan,5,Ha Noi,3,Xang,2000,Mercedes
92,Toyota Fortuner Legender 2.4L 4x2 AT,1130,4/11/2024,2024,5000,Lap rap,SUV,7,TP HCM,0,Dau,2400,Toyota
93,Peugeot 5008 GT 1.6 AT,950,4/11/2024,2022,52000,Lap rap,SUV,7,TP HCM,2,Xang,1600,Peugeot
94,Toyota Camry 2.0G,785,4/11/2024,2019,5,Nhap khau,Sedan,5,Ha Noi,5,Xang,2000,Toyota
95,Lexus LM 300h Royal Lounge,5599,4/11/2024,2020,59999,Nhap khau,Van,4,Ha Noi,4,Hybrid,2500,Lexus
96,Toyota Corolla Cross 1.8V,755,4/11/2024,2022,16000,Nhap khau,SUV,5,Ha Noi,2,Xang,1800,Toyota
97,Hyundai Tucson 1.6 AT Turbo HTRAC Dac biet,899,3/11/2024,2022,20000,Lap rap,Crossover,5,Ha Noi,2,Xang,1600,Hyundai
98,Nissan Navara EL 2.5 AT 2WD,425,4/11/2024,2017,67000,Nhap khau,Ban tai,5,Ha Noi,7,Dau,2500,Nissan
100,Lexus RX 450h,1290,4/11/2024,2012,70000,Nhap khau,SUV,5,Ha Noi,12,Hybrid,3500,Lexus
101,Kia Morning Si MT,235,4/11/2024,2018,87000,Lap rap,Hatchback,5,Binh Duong,6,Xang,1250,Kia
102,Ford EcoSport Titanium 1.5L AT,330,4/11/2024,2015,101363,Lap rap,SUV,5,Ha Noi,9,Xang,1500,Ford
103,Ford Territory Titanium X 1.5 AT,848,4/11/2024,2023,17000,Lap rap,SUV,5,TP HCM,1,Xang,1500,Ford
104,Lexus RX 350,2790,4/11/2024,2018,53000,Nhap khau,SUV,5,Ha Noi,6,Xang,3500,Lexus
105,Toyota Fortuner 2.7V 4x4 AT,425,3/11/2024,2013,0,Lap rap,SUV,7,Gia Lai,11,Xang,2700,Toyota
106,Toyota Hilux 2.4L 4x2 AT,595,4/11/2024,2020,70000,Nhap khau,Ban tai,5,Nghe An,4,Dau,2400,Toyota
107,Toyota Camry 2.5Q,920,3/11/2024,2020,0,Nhap khau,Sedan,5,Ha Noi,4,Xang,2500,Toyota
108,Ford Everest Titanium 2.0L 4x2 AT,895,4/11/2024,2020,57000,Nhap khau,SUV,7,TP HCM,4,Dau,2000,Ford
110,Mercedes Benz S class S450L,2800,4/11/2024,2020,7900,Lap rap,Sedan,5,Ha Noi,4,Xang,3000,Mercedes
111,Toyota Vios G 1.5 CVT,475,4/11/2024,2021,50300,Lap rap,Sedan,5,Ha Noi,3,Xang,1500,Toyota
113,Mazda BT50 2.2L 4x2 ATH,445,4/11/2024,2018,38000,Nhap khau,Ban tai,5,Ha Noi,6,Dau,2200,Mazda
114,Kia K3 Premium 1.6 AT,540,4/11/2024,2021,24000,Lap rap,Sedan,5,Ha Noi,3,Xang,1600,Kia
115,Hyundai i10 Grand 1.2 AT,348,4/11/2024,2020,23000,Lap rap,Hatchback,5,Quang Ninh,4,Xang,1250,Hyundai
116,Kia Cerato 2.0 AT Premium,528,4/11/2024,2020,44560,Lap rap,Sedan,5,Ha Noi,4,Xang,2000,Kia
118,Audi A5 2.0 T Quattro,596,4/11/2024,2009,0,Nhap khau,Convertible,4,Ha Noi,15,Xang,2000,Audi
119,Kia Carnival Signature 2.2D,1299,4/11/2024,2022,34567,Lap rap,Van,7,Ha Noi,2,Dau,2200,Kia
120,VinFast VF3 Plus,265,4/11/2024,2024,0,Lap rap,Hatchback,4,Ha Noi,0,Dien,0,VinFast
121,Mercedes Benz C class C250 Exclusive,569,3/11/2024,2014,90000,Lap rap,Sedan,5,Ha Noi,10,Xang,2000,Mercedes
122,Toyota Fortuner 2.4G 4x2 AT,855,4/11/2024,2019,0,Lap rap,SUV,7,Ha Noi,5,Dau,2400,Toyota
123,Mercedes Benz GLC 300 4Matic,2660,4/11/2024,2023,7000,Lap rap,SUV,5,Ha Noi,1,Xang,2000,Mercedes
124,Kia Sorento Signature 2.5 AT AWD,929,4/11/2024,2021,30000,Lap rap,SUV,6,TP HCM,3,Xang,2500,Kia
127,Mercedes Benz C class C200 Avantgarde,1539,4/11/2024,2022,9000,Lap rap,Sedan,5,Ha Noi,2,Xang,1500,Mercedes
128,Toyota Vios 1.5E CVT,385,4/11/2024,2018,86000,Lap rap,Sedan,5,Ha Noi,6,Xang,1500,Toyota
133,VinFast Fadil 1.4 AT,314,4/11/2024,2021,30000,Lap rap,Hatchback,5,Hai Phong,3,Xang,1400,VinFast
135,Kia Carnival Signature 2.2D,1229,4/11/2024,2021,49000,Lap rap,Van,7,Ha Noi,3,Dau,2200,Kia
136,Honda Brio RS,365,4/11/2024,2020,39000,Nhap khau,Hatchback,5,Ba Ria Vung Tau,4,Xang,1200,Honda
138,Mazda 6 Signature Premium 2.5 AT,795,4/11/2024,2022,30000,Lap rap,Sedan,5,Ha Noi,2,Xang,2500,Mazda
139,VinFast Lux SA 2.0 Premium 2.0 AT,780,4/11/2024,2020,79000,Lap rap,SUV,7,Ha Noi,4,Xang,2000,VinFast
140,Ford Territory Titanium 1.5 AT,840,4/11/2024,2024,20000,Lap rap,SUV,5,Ha Noi,0,Xang,1500,Ford
141,Honda Accord 1.5 AT,996,4/11/2024,2022,39000,Nhap khau,Sedan,5,Ha Noi,2,Xang,1500,Honda
142,Hyundai SantaFe 2.2L,686,4/11/2024,2017,89000,Lap rap,SUV,7,Ha Noi,7,Dau,2200,Hyundai
143,Mercedes Benz E class E300 AMG,1339,4/11/2024,2017,40000,Lap rap,Sedan,5,Ha Noi,7,Xang,2000,Mercedes
144,Mazda 3 1.5L Luxury,530,4/11/2024,2020,40000,Lap rap,Sedan,5,Ha Noi,4,Xang,1500,Mazda
145,Toyota Fortuner 2.4G 4x2 AT Legender,1072,4/11/2024,2021,59000,Lap rap,SUV,7,TP HCM,3,Dau,2400,Toyota
146,Lexus RX 350 Premium,3650,4/11/2024,2023,4000,Nhap khau,SUV,5,Ha Noi,1,Xang,2400,Lexus
147,Mercedes Benz GLC 300 4Matic,1738,4/11/2024,2021,38000,Lap rap,SUV,5,TP HCM,3,Xang,2000,Mercedes
149,Hyundai Accent 1.4 AT Dac Biet,445,4/11/2024,2021,30000,Lap rap,Sedan,5,Ha Noi,3,Xang,1400,Hyundai
150,Mercedes Benz C class C250 Exclusive,859,4/11/2024,2018,66000,Lap rap,Sedan,5,TP HCM,6,Xang,2000,Mercedes
151,Mercedes Benz C class C250 Exclusive,859,4/11/2024,2018,66000,Lap rap,Sedan,5,TP HCM,6,Xang,2000,Mercedes
152,Porsche Cayenne 3.0 V6,3980,4/11/2024,2020,50000,Nhap khau,SUV,5,Ha Noi,4,Xang,3000,Porsche
153,Toyota Vios 1.5G,430,4/11/2024,2019,45000,Lap rap,Sedan,5,Hai Duong,5,Xang,1500,Toyota
158,Mercedes Benz S class S450L,2350,4/11/2024,2019,30000,Lap rap,Sedan,5,Ha Noi,5,Xang,3000,Mercedes
160,BMW X3 sDrive20i M Sport,1899,4/11/2024,2023,22000,Lap rap,SUV,5,TP HCM,1,Xang,2000,BMW
161,Chevrolet Spark LTZ 1.0 AT,180,4/11/2024,2013,70000,Lap rap,Hatchback,5,Ha Noi,11,Xang,1000,Chevrolet
162,Toyota Innova 2.0E,342,4/11/2024,2015,138000,Lap rap,Crossover,8,Ha Noi,9,Xang,2000,Toyota
163,Mercedes Benz GLS 580 4Matic,5888,3/11/2024,2021,45000,Nhap khau,SUV,7,Ha Noi,3,Xang,4000,Mercedes
165,Hyundai SantaFe 2.2L 4WD,690,3/11/2024,2017,0,Lap rap,SUV,7,Ha Noi,7,Dau,2200,Hyundai
166,Mercedes Benz E class E200,580,4/11/2024,2014,0,Lap rap,Sedan,5,Ha Noi,10,Xang,2000,Mercedes
167,Ford Everest Titanium 2.0L 4x2 AT,899,4/11/2024,2020,70000,Nhap khau,SUV,7,Ha Noi,4,Dau,2000,Ford
168,Ford EcoSport Titanium 1.5L AT,365,3/11/2024,2016,50000,Lap rap,SUV,5,TP HCM,8,Xang,1500,Ford
169,Ford EcoSport Titanium 1.0 EcoBoost,389,4/11/2024,2018,110000,Lap rap,SUV,5,Ha Noi,6,Xang,1000,Ford
170,Mazda CX5 2.5 AT,495,4/11/2024,2016,0,Lap rap,SUV,5,Hai Phong,8,Xang,2500,Mazda
171,Peugeot 2008 GT Line 1.2 AT,648,4/11/2024,2022,14000,Lap rap,Crossover,5,Nghe An,2,Xang,1200,Peugeot
172,Hyundai Kona 2.0 AT,479,4/11/2024,2019,37000,Lap rap,Crossover,5,TP HCM,5,Xang,2000,Hyundai
175,Hyundai Elantra 1.6 AT,468,4/11/2024,2019,56000,Lap rap,Sedan,5,TP HCM,5,Xang,1600,Hyundai
176,Ford Everest Titanium 2.0L 4x2 AT,1260,4/11/2024,2023,17500,Nhap khau,SUV,7,TP HCM,1,Dau,2000,Ford
177,Kia Sedona 2.2 DAT Luxury,905,4/11/2024,2020,30000,Lap rap,Van,7,Ha Noi,4,Dau,2200,Kia
178,Bentley Flying Spur Speed,1470,4/11/2024,2009,100000,Nhap khau,Sedan,5,Ha Noi,15,Xang,6000,Bentley
179,Hyundai Accent 1.4 AT,445,3/11/2024,2022,12000,Lap rap,Sedan,5,Quang Ninh,2,Xang,1400,Hyundai
180,Mercedes Benz C class C200 Avantgarde Plus,1488,4/11/2024,2022,22000,Lap rap,Sedan,5,TP HCM,2,Xang,1500,Mercedes
181,Mercedes Benz GLC 300 4Matic,1969,4/11/2024,2022,27000,Lap rap,SUV,5,Ha Noi,2,Xang,2000,Mercedes
182,Toyota Prado TXL 2.7L,1120,4/11/2024,2015,82000,Nhap khau,SUV,7,Ha Noi,9,Xang,2700,Toyota
183,Mercedes Benz GLC 200 4Matic,1699,4/11/2024,2022,8000,Lap rap,SUV,5,Ha Noi,2,Xang,2000,Mercedes
184,Mercedes Benz GLC 200 4Matic,2099,4/11/2024,2023,7000,Lap rap,SUV,5,Ha Noi,1,Xang,2000,Mercedes
185,Kia K3 Deluxe 1.6 MT,460,4/11/2024,2022,42000,Lap rap,Sedan,5,Dak Lak,2,Xang,1600,Kia
186,Lexus GX 470,620,4/11/2024,2006,150000,Nhap khau,SUV,7,Ha Noi,18,Xang,4700,Lexus
187,Mazda CX5 Deluxe 2.0 AT,710,3/11/2024,2022,46000,Lap rap,SUV,5,TP HCM,2,Xang,2000,Mazda
188,Toyota Corolla Cross 1.8V,755,4/11/2024,2022,16000,Nhap khau,SUV,5,Ha Noi,2,Xang,1800,Toyota
189,Honda CRV 2.0 AT,460,4/11/2024,2013,90000,Lap rap,SUV,5,Ha Noi,11,Xang,2000,Honda
190,Porsche Cayenne 3.0 V6,4550,4/11/2024,2021,55000,Nhap khau,SUV,5,Ha Noi,3,Xang,3000,Porsche
191,Porsche Cayenne 3.0 V6,4550,4/11/2024,2021,55000,Nhap khau,SUV,5,Ha Noi,3,Xang,3000,Porsche
193,Mercedes Benz GLC 200,1489,4/11/2024,2022,38000,Lap rap,SUV,5,Ha Noi,2,Xang,2000,Mercedes
195,Mercedes Benz S class S450 4Matic Luxury,4599,4/11/2024,2022,21000,Nhap khau,Sedan,5,Ha Noi,2,Xang,3000,Mercedes
196,BMW X4 xDrive28i,799,4/11/2024,2014,100000,Nhap khau,SUV,5,Ha Noi,10,Xang,2000,BMW
200,Mercedes Benz GLE Class GLE 53 4Matic+ Coupe AMG,4999,4/11/2024,2022,20,Nhap khau,SUV,5,Ha Noi,2,Xang,3000,Mercedes
201,Toyota Camry 2.5Q,1239,4/11/2024,2022,30000,Nhap khau,Sedan,5,TP HCM,2,Xang,2500,Toyota
202,Mazda 3 1.5 AT,448,4/11/2024,2018,77000,Lap rap,Sedan,5,TP HCM,6,Xang,1500,Mazda
203,Hyundai i20 Active 1.4 AT,365,3/11/2024,2015,60000,Nhap khau,Crossover,5,Ha Noi,9,Xang,1400,Hyundai
204,LandRover Range Rover Autobiography LWB 5.0,3450,3/11/2024,2014,40000,Nhap khau,SUV,4,Ha Noi,10,Xang,5000,Land Rover
205,Mercedes Benz S class S450 Luxury,3999,4/11/2024,2021,35000,Nhap khau,Sedan,5,Ha Noi,3,Xang,3000,Mercedes
206,Mercedes Benz GLS 450 4Matic,3650,4/11/2024,2020,76000,Nhap khau,SUV,7,Ha Noi,4,Xang,3000,Mercedes
207,Toyota Land Cruiser 4.6 V8,3820,4/11/2024,2019,100000,Nhap khau,SUV,8,Ha Noi,5,Xang,4600,Toyota
208,Kia Carens 1.5G Luxury,663,4/11/2024,2023,6800,Lap rap,SUV,7,Ha Noi,1,Xang,1500,Kia
209,Ford Focus Titanium 2.0 AT,295,3/11/2024,2014,100000,Lap rap,Sedan,5,Ha Noi,10,Xang,2000,Ford
210,Mercedes Benz GLC 200 4Matic,2090,4/11/2024,2023,3000,Lap rap,SUV,5,Hai Phong,1,Xang,2000,Mercedes
211,Hyundai Tucson 2.0 AT Tieu chuan,760,4/11/2024,2022,0,Lap rap,Crossover,5,Ha Noi,2,Xang,2000,Hyundai
213,Toyota Wigo 1.2G MT,235,4/11/2024,2019,234000,Nhap khau,Hatchback,5,TP HCM,5,Xang,1200,Toyota
214,Kia Optima 2.4 GT line,530,4/11/2024,2017,57000,Lap rap,Sedan,5,Binh Duong,7,Xang,2400,Kia
216,Mercedes Benz E class E200 Exclusive,2039,4/11/2024,2022,7999,Lap rap,Sedan,5,TP HCM,2,Xang,2000,Mercedes
217,VinFast VF5 Plus,450,4/11/2024,2024,10,Lap rap,SUV,5,Ha Noi,0,Dien,0,VinFast
218,Mitsubishi Xpander 1.5 MT,465,3/11/2024,2021,10000,Nhap khau,SUV,7,Ha Noi,3,Xang,1500,Mitsubishi
219,Mercedes Benz S class S450 4Matic,4200,4/11/2024,2022,27000,Nhap khau,Sedan,5,Ha Noi,2,Xang,3000,Mercedes
220,Toyota Vios 1.5G,435,4/11/2024,2019,62000,Lap rap,Sedan,5,Hai Phong,5,Xang,1500,Toyota
221,Toyota Corolla altis 1.8G AT,529,4/11/2024,2018,43300,Lap rap,Sedan,5,TP HCM,6,Xang,1800,Toyota
222,Kia Sedona 2.2L DATH,750,4/11/2024,2018,100000,Lap rap,Van,7,Ha Noi,6,Dau,2200,Kia
224,Toyota Raize G 1.0 CVT,535,4/11/2024,2023,26000,Nhap khau,SUV,5,Ha Noi,1,Xang,1000,Toyota
226,VinFast Lux A 2.0 Premium 2.0 AT,595,4/11/2024,2019,50000,Lap rap,Sedan,5,Ha Noi,5,Xang,2000,VinFast
230,Kia Seltos Premium 1.4 AT,680,3/11/2024,2023,12000,Lap rap,Crossover,5,Quang Ninh,1,Xang,1400,Kia
231,Mazda 6 Signature Premium 2.5 AT,790,4/11/2024,2022,0,Lap rap,Sedan,5,Long An,2,Xang,2500,Mazda
232,Toyota Fortuner 2.4L 4x2 AT,999,3/11/2024,2022,13000,Lap rap,SUV,7,TP HCM,2,Dau,2400,Toyota
233,Hyundai SantaFe 2.2L HTRAC,830,4/11/2024,2019,56000,Lap rap,SUV,7,Ha Noi,5,Dau,2200,Hyundai
236,Mercedes Benz E class E300 AMG,2545,4/11/2024,2024,0,Lap rap,Sedan,5,TP HCM,0,Xang,2000,Mercedes
238,Rolls Royce Phantom EWB,12500,4/11/2024,2015,55500,Nhap khau,Sedan,4,Ha Noi,9,Xang,6700,Rolls-Royce
239,Mercedes Benz GLC 200 4Matic,1439,4/11/2024,2021,55000,Lap rap,SUV,5,Ha Noi,3,Xang,2000,Mercedes
240,Toyota Land Cruiser 4.6 V8,3885,4/11/2024,2019,129999,Nhap khau,SUV,8,Ha Noi,5,Xang,4600,Toyota
241,Nissan Navara LE 2.5MT 4WD,265,4/11/2024,2012,102000,Nhap khau,Ban tai,5,Dak Lak,12,Dau,2500,Nissan
243,Kia Morning 1.0 MT,162,4/11/2024,2017,0,Lap rap,Hatchback,5,Ha Noi,7,Xang,1000,Kia
244,Mitsubishi Attrage 1.2 CVT,386,4/11/2024,2022,40000,Nhap khau,Sedan,5,Ha Noi,2,Xang,1200,Mitsubishi
245,BMW 3 Series 318i AT,155,4/11/2024,2004,130000,Lap rap,Sedan,5,TP HCM,20,Xang,2000,BMW
246,Toyota Wigo 1.2G MT,215,3/11/2024,2018,0,Nhap khau,Hatchback,5,Ha Noi,6,Xang,1200,Toyota
248,Toyota Corolla Cross 1.8G,725,4/11/2024,2022,44000,Nhap khau,SUV,5,Ha Noi,2,Xang,1800,Toyota
249,Hyundai SantaFe Premium 2.4L HTRAC,835,3/11/2024,2020,0,Lap rap,SUV,7,Ha Noi,4,Xang,2400,Hyundai
250,Mercedes Benz GLE Class GLE 450 4Matic,3199,4/11/2024,2021,54400,Nhap khau,SUV,7,TP HCM,3,Xang,3000,Mercedes
251,Lexus RX 450h,799,4/11/2024,2009,105000,Nhap khau,SUV,5,Ha Noi,15,Hybrid,3500,Lexus
252,Honda Brio RS,366,4/11/2024,2020,0,Nhap khau,Hatchback,5,Ha Noi,4,Xang,1200,Honda
253,Mitsubishi Xpander Cross 1.5 AT,515,4/11/2024,2020,70000,Nhap khau,SUV,7,Hai Phong,4,Xang,1500,Mitsubishi
255,Toyota Fortuner 2.4L 4x2 AT,965,4/11/2024,2022,60000,Lap rap,SUV,7,Ha Noi,2,Dau,2400,Toyota
256,Mercedes Benz Maybach S450 4Matic,3250,4/11/2024,2017,60000,Nhap khau,Sedan,5,Ha Noi,7,Xang,3000,Mercedes
257,LandRover Range Rover Autobiography LWB 5.0,2999,4/11/2024,2014,68000,Nhap khau,SUV,4,Ha Noi,10,Xang,5000,Land Rover
258,Peugeot 3008 AL,819,4/11/2024,2022,50000,Lap rap,Crossover,5,Ha Noi,2,Xang,1600,Peugeot
259,Mazda CX5 Premium 2.0 AT,777,4/11/2024,2022,27000,Lap rap,SUV,5,Ha Noi,2,Xang,2000,Mazda
260,Mercedes Benz C class C300 AMG,770,4/11/2024,2016,43000,Lap rap,Sedan,5,Ha Noi,8,Xang,2000,Mercedes
261,Mercedes Benz C class C300 AMG,768,4/11/2024,2016,100000,Lap rap,Sedan,5,Ha Noi,8,Xang,2000,Mercedes
262,LandRover Range Rover HSE 3.0,2390,4/11/2024,2014,70000,Nhap khau,SUV,5,Ha Noi,10,Xang,3000,Land Rover
263,Toyota Corolla Cross 1.8V,775,4/11/2024,2022,68000,Nhap khau,SUV,5,Ha Noi,2,Xang,1800,Toyota
264,Toyota Fortuner 2.4L 4x2 AT,988,4/11/2024,2022,31000,Lap rap,SUV,7,Ha Noi,2,Dau,2400,Toyota
265,Hyundai Accent 1.4 AT Dac Biet,468,4/11/2024,2022,22000,Lap rap,Sedan,5,Ha Noi,2,Xang,1400,Hyundai
266,Mercedes Benz GLC 200,1420,4/11/2024,2021,30000,Lap rap,SUV,5,Ha Noi,3,Xang,2000,Mercedes
267,Volkswagen Polo 1.6 AT,275,4/11/2024,2015,85000,Nhap khau,Hatchback,5,Ha Noi,9,Xang,1600,Volkswagen
268,Mitsubishi Xpander 1.5 AT,490,4/11/2024,2019,79000,Nhap khau,SUV,7,Ha Noi,5,Xang,1500,Mitsubishi
269,Audi S8 4.0 TFSI Quattro,5900,4/11/2024,2020,0,Nhap khau,Sedan,5,Ha Noi,4,Xang,4000,Audi
270,VinFast VF7 Plus,920,4/11/2024,2024,9000,Lap rap,SUV,5,Ha Noi,0,Dien,0,VinFast
271,Mercedes Benz GLC 200 4Matic,1499,4/11/2024,2020,48000,Lap rap,SUV,5,Ha Noi,4,Xang,2000,Mercedes
272,Ford Explorer Limited 2.3L EcoBoost,1068,4/11/2024,2018,80000,Nhap khau,SUV,7,Ha Noi,6,Xang,2300,Ford
273,Mercedes Benz C class C300 AMG,1190,4/11/2024,2019,41000,Lap rap,Sedan,5,Ha Noi,5,Xang,2000,Mercedes
274,LandRover Range Rover Evoque HSE Dynamic,919,4/11/2024,2015,70000,Nhap khau,SUV,5,Ha Noi,9,Xang,2000,Land Rover
275,Mercedes Benz GLC 200 4Matic,1580,4/11/2024,2022,40000,Lap rap,SUV,5,Ha Noi,2,Xang,2000,Mercedes
276,Kia Sorento Signature 2.5 AT AWD,989,4/11/2024,2022,46000,Lap rap,SUV,7,Ha Noi,2,Xang,2500,Kia
277,Hyundai Stargazer Dac biet 1.5 AT,515,4/11/2024,2022,11000,Nhap khau,Van,7,Ha Noi,2,Xang,1500,Hyundai
278,Nissan Navara EL 2.3 AT 2WD,615,4/11/2024,2023,18000,Nhap khau,Ban tai,5,Ha Noi,1,Dau,2300,Nissan
